"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Admin Create Book API","1","0","Successfully create a book via POST endpoint","0"
"0","","0","Navigation Functionality","1","0","Use menu navigation","0"
"0","","0","Update Book Access Control API","1","0","Regular user cannot update a book","0"
"0","","1","Product Filtering","0","0","Verify price low to high filter","0"
"0","","0","Update Book API","1","0","Successfully update an existing book","0"
"0","","0","Update Book API","1","0","Attempt to update book with invalid ID format","0"
"0","","1","Admin Create Book API","0","0","Cannot create a book without an author","0"
"0","","0","Social Media Links","3","0","Social media redirects","0"
"0","","1","Admin Delete Book API","0","0","Successfully delete a book via DELETE endpoint","0"
"0","","1","Add All Products to Cart","0","0","Add all products to cart","0"
"0","","1","Product Details Add to Cart Functionality","0","0","Add product to cart from product details page","0"
"0","","0","Remove Items from Cart","1","0","Remove an item from cart","0"
"0","","1","Admin Create Book API","0","0","Cannot create book with numeric author","0"
"0","","0","Checkout Form Validation","1","0","Verify the first name field retains the entered value","0"
"0","","1","Checkout Form Validation","0","0","Verify the last name field retains the entered value","0"
"0","","0","Get All Books API","1","0","Successfully retrieve all books via GET endpoint","0"
"0","","1","Product Details Navigation","0","0","Verify product link redirects to correct product","0"
"0","","1","Regular User Delete Book API","0","0","Regular user cannot delete a book","0"
"0","","1","Remove Product from Cart on Product Details Page","0","0","Remove product from cart on product details page","0"
"0","","0","Update Book API","1","0","Attempt to update non-existent book","0"
"0","","1","Remove Product from Inventory Page","0","0","Remove product using remove button on inventory page","0"
"0","","0","Navigation Functionality","1","0","Logout functionality","0"
"0","","1","Product Image Verification","0","0","Verify product images are unique","0"
"0","","0","Navigation Functionality","1","0","Reset removes item from cart","0"
"0","","1","Admin Delete Book API","0","0","Attempt to delete non-existent book","0"
"0","","1","Admin Create Book API","0","0","Cannot create a book without a title","0"
"0","","0","Multiple Products Cart Functionality","1","0","Add multiple products to cart","0"
"0","","0","Product Cart Functionality","1","0","Add product to cart","0"
"0","","1","Admin Create Book API","0","0","Cannot create duplicate book","0"
"0","","0","Navigation Functionality","1","0","Access cart page","0"
"0","","1","Cart Checkout Functionality","0","0","Verify checkout is not possible with an empty cart","0"
"0","","0","Regular User Create Book API","1","0","Regular user can create a book","0"
"0","","0","Admin Delete Book API","1","0","Attempt to delete book with invalid ID format","0"
"0","","0","Update Book API","1","0","Cannot update book with empty body","0"
"0","","0","Get Book By ID API","1","0","Verify API handles non-integer ID format","0"
"0","","0","Get Book By ID API","1","0","Successfully retrieve a book by its ID","0"
"0","","0","Update Book Access Control API","1","0","Cannot update book without authentication","0"
"0","","0","Unauthenticated Create Book API","1","0","Cannot create book without authentication","0"
