"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a library administrator
  I want to create and validate books
  So that I can maintain a high-quality library catalog","159","Successfully create a book via POST endpoint","","Sun Jan 05 04:05:30 GMT 2025","passed","Sun Jan 05 04:05:30 GMT 2025","","Admin Create Book API","Successfully create a book via POST endpoint",""
"  As a user
  I want to use the navigation menu
  So that I can access different parts of the application","1640","Use menu navigation","","Sun Jan 05 04:06:19 GMT 2025","passed","Sun Jan 05 04:06:21 GMT 2025","","Navigation Functionality","Use menu navigation",""
"  As a library system
  I want to control access to book updates
  So that I can maintain system security and data integrity","97","Regular user cannot update a book","","Sun Jan 05 04:05:31 GMT 2025","passed","Sun Jan 05 04:05:31 GMT 2025","","Update Book Access Control API","Regular user cannot update a book",""
"  As a user
  I want to filter products
  So that I can view them in my preferred order","2111","Verify price low to high filter","","Sun Jan 05 04:07:27 GMT 2025","failed","Sun Jan 05 04:07:29 GMT 2025","","Product Filtering","Verify price low to high filter",""
"  As a library administrator
  I want to update existing books in the system
  So that I can maintain accurate book information","104","Successfully update an existing book","","Sun Jan 05 04:05:31 GMT 2025","passed","Sun Jan 05 04:05:31 GMT 2025","","Update Book API","Successfully update an existing book",""
"  As a library administrator
  I want to update existing books in the system
  So that I can maintain accurate book information","92","Attempt to update book with invalid ID format","","Sun Jan 05 04:05:31 GMT 2025","passed","Sun Jan 05 04:05:32 GMT 2025","","Update Book API","Attempt to update book with invalid ID format",""
"  As a library administrator
  I want to create and validate books
  So that I can maintain a high-quality library catalog","104","Cannot create a book without an author","","Sun Jan 05 04:05:30 GMT 2025","failed","Sun Jan 05 04:05:30 GMT 2025","","Admin Create Book API","Cannot create a book without an author",""
"  As a user
  I want to access the social media links
  So that I can follow the company on different platforms","2252","Social media redirects","","Sun Jan 05 04:07:46 GMT 2025","passed","Sun Jan 05 04:07:48 GMT 2025","","Social Media Links","Social media redirects",""
"  As a library administrator
  I want to delete books from the system
  So that I can maintain an accurate library catalog","255","Successfully delete a book via DELETE endpoint","","Sun Jan 05 04:05:29 GMT 2025","failed","Sun Jan 05 04:05:29 GMT 2025","","Admin Delete Book API","Successfully delete a book via DELETE endpoint",""
"  As a user
  I want to add all available products to my cart
  So that I can purchase everything at once","2406","Add all products to cart","","Sun Jan 05 04:05:39 GMT 2025","failed","Sun Jan 05 04:05:41 GMT 2025","","Add All Products to Cart","Add all products to cart",""
"  As a user
  I want to add products to cart from the product details page
  So that I can purchase items after viewing their details","31225","Add product to cart from product details page","","Sun Jan 05 04:06:34 GMT 2025","failed","Sun Jan 05 04:07:06 GMT 2025","","Product Details Add to Cart Functionality","Add product to cart from product details page",""
"  As a user
  I want to remove items from my cart
  So that I can update my purchase selection","11144","Remove an item from cart","","Sun Jan 05 04:07:31 GMT 2025","passed","Sun Jan 05 04:07:42 GMT 2025","","Remove Items from Cart","Remove an item from cart",""
"  As a library administrator
  I want to create and validate books
  So that I can maintain a high-quality library catalog","99","Cannot create book with numeric author","","Sun Jan 05 04:05:30 GMT 2025","failed","Sun Jan 05 04:05:30 GMT 2025","","Admin Create Book API","Cannot create book with numeric author",""
"  As a user
  I want to verify the checkout form fields maintain correct input values
  So that I can complete my purchase accurately","1338","Verify the first name field retains the entered value","","Sun Jan 05 04:05:44 GMT 2025","passed","Sun Jan 05 04:05:46 GMT 2025","","Checkout Form Validation","Verify the first name field retains the entered value",""
"  As a user
  I want to verify the checkout form fields maintain correct input values
  So that I can complete my purchase accurately","1306","Verify the last name field retains the entered value","","Sun Jan 05 04:05:46 GMT 2025","failed","Sun Jan 05 04:05:47 GMT 2025","","Checkout Form Validation","Verify the last name field retains the entered value",""
